Solution index	Reaction deletions	Module reactions	Compatible products (wGCP objective value >= 0.5)
18	ACALD, ASPT, G3PD2, LCADi, TPI	ac (ACALD), dca (TPI), hdca (TPI), ocdcap (TPI), ocdcea (TPI)	ac, dca, ocdcea
19	ACALD, ASPT, HPYRRx, ZNabcpp, TPI	ac (ACALD), ttdcea (TPI)	ac, ttdcea
20	ACALD, ASPT, URDGLYCD, TPI, I2FE2SR	ac (ACALD), ttdcea (TPI)	ac, ttdcea
21	ACALD, G3PD2, 3HPPPNH, TPI	ttdcea (TPI)	ttdcea
22	ACALD, ASPT, GLUDC, TPI	ac (ACALD), ttdcea (TPI)	ac, ttdcea
23	ACALD, GLUDC, BUTSO3abcpp, TPI	ac (ACALD), ttdcea (TPI)	ac, ttdcea
24	ACALD, ASPT, DDPGALA, GLUDy, TPI	ttdcea (TPI)	ttdcea
25	TKT1, ALCD2x, PPC, LDH_D, POR5	1agpg120 (LDH_D), 1agpg160 (LDH_D), 1agpg181 (LDH_D), 2agpe160 (LDH_D), 2agpg160 (LDH_D), 2agpg161 (LDH_D), 2agpg181 (LDH_D), ddca (PPC), for (ALCD2x), hdcap (PPC), octa (PPC), ppa (PPC), ttdca (PPC)	12dgr120, 12dgr140, 12dgr141, 12dgr161, 12dgr181, 1agpg180, 1ddecg3p, 1hdec9eg3p, 1hdecg3p, 1odec11eg3p, 1tdec7eg3p, 1tdecg3p, 2agpg180, 2hdec9eg3p, 2hdecg3p, 2odec11eg3p, 2odecg3p, 2tdecg3p, acald, apg120, dca, ddca, ddcap, hdcap, hdceap, hxa, lipidX, octa, octapb, pa120, pa140, pa141, pa161, pa181, pe120, pe140, pe141, pe160, pe161, pe180, pe181, pg120, pg140, pg141, pg160, pg161, pg181, pgp120, pgp140, pgp141, pgp160, pgp161, pgp181, ppa, ps120, ps140, ps141, ps160, ps161, ps180, ps181, ttdca, ttdcea, ttdceap
26	ALCD2x, PPC, TKT2, DMSOR1pp, POR5	ac (ALCD2x), for (ALCD2x), ppa (PPC)	12dgr180, dca, ddca, hdca, hdcap, hdcea, ocdca, ocdcap, ocdcea, ocdceap, octa, ppa, ttdca, ttdcea
27	ALCD2x, ASPT, LCARS, TPI	12dgr180 (TPI), ocdcea (TPI), ocdceap (TPI), octa (TPI), ppa (TPI)	ocdcea, ocdceap, octa, ppa
28	ALCD2x, NTPP2, CBMKr, ZN2abcpp, POR5		dca, ddca, hdcea, ocdcea, ocdceap, octa, ppa, ttdcea
29	ALCD2x, CBPS, CYSabc2pp, DAAD, TPI	dca (TPI), ocdca (TPI), ttdcea (TPI)	dca, ttdcea
30	ALCD2x, NTPP2, LCARS, TPI	12dgr180 (TPI), ocdcea (TPI), ocdceap (TPI), octa (TPI), ppa (TPI)	ocdcea, ocdceap, octa, ppa
31	ALCD2x, CBPS, NO3R2pp, DAAD, TPI	dca (TPI), ocdca (TPI), ttdcea (TPI)	dca, ttdcea
32	ALCD2x, PYAM5PO, TPI, LSERDHr, SELabcpp	octa (TPI), ppa (TPI), ttdcea (TPI)	octa, ppa, ttdcea
33	ALCD2x, UGLYCH, PFK, POR5, I4FE4SR		dca, ddca, hdcea, ocdcea, ocdceap, octa, ppa, ttdcea
